after_snapshot,before_snapshot,bucket_max_hours,bucket_min_hours,cheaper_peer_count,elapsed_hours,peer_count,reason,repost_average_unit_price,sold_likelihood_percent,status,value
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758af0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758dc0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758bb0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758ca0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758d90>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758df0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758f10>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758310>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758160>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1758fd0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1759090>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1759150>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1759210>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce17592d0>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1759390>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1759450>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce1759510>
data/scan_002.db,data/scan_001.db,,,0,,0,"disappeared during the unknown expiry window (uncertain score=0.50); timing=0.50, price=0.50, cheaper_survivors=0/0, continuity=0.50",,50.0,missing,<sqlite3.Row object at 0x76dce17595d0>
